,exp,hp,meta,mean,std,dist,upper,lower
1552,Model<br>Architecture,-0.125,rank,0.4832836677402766,0.1619536483511904,FID,0.645237316091467,0.32133001938908623
1730,Model<br>Architecture,-0.125,delta,-0.0018171711177480821,0.04866706651468191,KLD-PP:NS-1000-BINS,0.04684989539693383,-0.05048423763242999
1731,Model<br>Architecture,-0.125,gain,0.6472868217054264,0.39722781584438244,KLD-PP:NS-1000-BINS,1.0445146375498089,0.25005900586104396
1643,Model<br>Architecture,-0.125,regret,0.2085570874071373,0.18511604856752473,KLD-PP:NN,0.393673135974662,0.02344103883961257
1732,Model<br>Architecture,-0.125,rank,0.4780286955585934,0.166896369233561,KLD-PP:NS-1000-BINS,0.6449250647921544,0.3111323263250324
1910,Model<br>Architecture,-0.125,delta,-0.0018111070767237445,0.048667417358792944,KLD-PP:NS-W:TS-100-BINS,0.0468563102820692,-0.05047852443551669
1733,Model<br>Architecture,-0.125,regret,0.20912618482883566,0.19766535029984522,KLD-PP:NS-1000-BINS,0.4067915351286809,0.011460834528990438
2184,Pretraining<br>Data,-0.125,weightedtau,0.09370849182427536,0.15605173832239616,FED,0.24976023014667154,-0.0623432464981208
1734,Model<br>Architecture,-0.125,weightedtau,0.029258292082366816,0.13616992802147684,KLD-PP:NS-1000-BINS,0.16542822010384367,-0.10691163593911003
2092,Model<br>Architecture,-0.125,rank,0.4797004938082656,0.16075399415065775,VDNA-PP:NN-1000-BINS,0.6404544879589233,0.3189464996576079
2093,Model<br>Architecture,-0.125,regret,0.20242665481218783,0.18156591113463064,VDNA-PP:NN-1000-BINS,0.38399256594681846,0.020860743677557192
2094,Model<br>Architecture,-0.125,weightedtau,-0.014970659540709341,0.16294509309811978,VDNA-PP:NN-1000-BINS,0.14797443355741044,-0.1779157526388291
1644,Model<br>Architecture,-0.125,weightedtau,-0.042975829668690624,0.15274401801841792,KLD-PP:NN,0.10976818834972729,-0.19571984768710854
2180,Pretraining<br>Data,-0.125,delta,-0.01150137440178745,0.0355700607263445,FED,0.024068686324557047,-0.04707143512813195
1912,Model<br>Architecture,-0.125,rank,0.4773919292241527,0.16479809025198128,KLD-PP:NS-W:TS-100-BINS,0.642190019476134,0.3125938389721714
106,Augmentation<br>Policy,-0.1,gain,0.6666666666666666,0.3826293621223676,FID,1.0492960287890343,0.28403730454429904
107,Augmentation<br>Policy,-0.1,rank,0.5812279000940485,0.16350979774879815,FID,0.7447376978428466,0.4177181023452503
105,Augmentation<br>Policy,-0.1,delta,0.003373479812336223,0.05263591823005613,FID,0.056009398042392355,-0.049262438417719906
2538,Pretraining<br>Data,-0.1,regret,0.21872346015236574,0.168812101344381,KLD-PP:NS-W:SN-1000-BINS,0.3875355614967467,0.04991135880798475
738,Co-Training<br>Data,-0.1,regret,0.1927802804823,0.18455612780483738,FED,0.3773364082871374,0.008224152677462626
2537,Pretraining<br>Data,-0.1,rank,0.5364484713749035,0.17587817537561118,KLD-PP:NS-W:SN-1000-BINS,0.7123266467505147,0.3605702959992923
2539,Pretraining<br>Data,-0.1,weightedtau,0.0235270865170338,0.21745280705937217,KLD-PP:NS-W:SN-1000-BINS,0.24097989357640598,-0.19392572054233836
737,Co-Training<br>Data,-0.1,rank,0.48350130406456904,0.20125745071728776,FED,0.6847587547818568,0.2822438533472813
736,Co-Training<br>Data,-0.1,gain,0.6162790697674417,0.38777879908631396,FED,1.0040578688537556,0.22850027068112777
735,Co-Training<br>Data,-0.1,delta,0.0055709685697112035,0.039204804078357365,FED,0.04477577264806857,-0.03363383550864616
